All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,56.8050688598952,Yes,Yes,0,0
47,47,43.6809223844915,Yes,Yes,0,0
47,47,23.8197041377099,Yes,Yes,0,0
47,47,49.8470857697742,Yes,Yes,0,0
47,47,12.9074086712658,No,Yes,0,0
47,47,50.0956999195586,Yes,Yes,0,0
48.9,48.9,73.2133956819741,Yes,Yes,0,0
48.9,48.9,67.771353608582,Yes,Yes,0,0
45,45,7.0183771589317,No,Yes,0,0
47,47,32.0619436828136,Yes,Yes,0,0
45,45,8.46331555820411,No,Yes,0,0
47,47,34.1734287767273,Yes,Yes,0,0
1,46.2,21.1650777537529,No,Yes,46.2,48.9
1,46.7,43.1700863604929,Yes,Yes,46.7,48.9
2,48.9,82.5894838344697,Yes,Yes,46.5,48.9
2,48.9,76.657166301577,Yes,Yes,46.5,48.9
2,48.9,73.6454772508443,Yes,Yes,46.5,48.9
1,46.5,18.1854767586124,No,Yes,46.5,48.9
2,48.9,73.9364338315733,Yes,Yes,46.7,48.9
2,48.9,69.7199718669751,Yes,Yes,46.7,48.9
1,46.7,15.289991358224,No,Yes,46.7,48.9
1,46.8,29.4806324240076,Yes,Yes,46.8,48.9
1,46.8,17.8053502145117,No,Yes,46.8,48.9
2,48.9,102.555296740789,Yes,Yes,46.9,48.9
