All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,73.4781049092022,Yes,Yes,0,0
47,47,96.7861663707694,Yes,No,0,0
47,47,112.534462226324,Yes,Yes,0,0
47,47,120.622967810265,Yes,Yes,0,0
47,47,112.435134583435,Yes,Yes,0,0
47,47,126.895283456993,Yes,No,0,0
47,47,100.567117898085,Yes,Yes,0,0
48.9,48.9,124.163575584715,Yes,Yes,0,0
47,47,90.8624519664738,Yes,Yes,0,0
45,45,50.5444681931706,Yes,Yes,0,0
45,45,42.6029714699404,Yes,Yes,0,0
48.9,48.9,139.229608611774,Yes,No,0,0
1,45,38.2544203525172,Yes,Yes,45,48.8
2,48.8,136.273030020057,Yes,No,45,48.8
1,45,38.834549161186,Yes,Yes,45,47.8
2,47.8,142.206057001383,Yes,No,45,47.8
1,45,45.3580939593236,Yes,Yes,45,46.7
2,46.7,51.7783156878718,Yes,Yes,45,46.7
2,46.9,79.761802333487,Yes,Yes,45,46.9
1,45,28.5497542892316,Yes,Yes,45,47
2,47,64.3954389697065,Yes,Yes,45,47
1,45,15.4767647135172,No,Yes,45,47.1
2,47.1,66.0887709352643,Yes,Yes,45,47.1
1,45,10.5190142320215,No,Yes,45,47.2
