All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,92.5504646198058,No,Yes,0,0
47,47,100.162083194001,Yes,Yes,0,0
47,47,132.247514599731,Yes,Yes,0,0
47,47,96.9990571574535,Yes,Yes,0,0
47,47,83.7163408252987,Yes,Yes,0,0
47,47,112.639707641451,Yes,Yes,0,0
47,47,116.341021900345,Yes,Yes,0,0
45,45,44.0437100904807,No,Yes,0,0
47,47,124.631544587605,Yes,Yes,0,0
45,45,45,No,Yes,0,0
48.9,48.9,127.174254833591,Yes,Yes,0,0
48.9,48.9,135.535458985565,Yes,Yes,0,0
1,46.2,31.0774836147789,No,Yes,46.2,48.9
2,48.9,133.750757321303,Yes,Yes,46.7,48.9
2,48.9,141.734681043262,Yes,No,46.7,48.9
2,48.8,107.322948962284,Yes,Yes,46.7,48.8
1,46.7,62.2855572963999,No,Yes,46.7,48.8
1,46.9,79.5625246488818,Yes,Yes,46.9,48.8
2,48.8,109.754026438431,Yes,Yes,46.9,48.8
1,46.9,67.9474950794659,No,Yes,46.9,48.8
1,47,118.036645717262,Yes,Yes,47,48.8
1,47,98.7662801618384,Yes,Yes,47,48.8
2,48.8,134.288287793964,Yes,Yes,47,48.8
2,48.8,108.232491080704,Yes,Yes,47,48.8
