All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,20.9657118405574,No,Yes,0,0
47,47,48.7429882956871,Yes,Yes,0,0
47,47,63.2799561094296,Yes,Yes,0,0
47,47,69.1173174407771,Yes,Yes,0,0
47,47,69.8558300543972,Yes,Yes,0,0
47,47,67.4964715002326,Yes,Yes,0,0
45,45,43.3889808920584,No,Yes,0,0
45,45,14.4135977011849,No,Yes,0,0
47,47,44.2970195772644,Yes,Yes,0,0
48.9,48.9,92.2075877794065,Yes,Yes,0,0
47,47,56.2042857968603,Yes,Yes,0,0
48.9,48.9,94.3208049549845,Yes,Yes,0,0
2,48.9,102.967083983121,Yes,No,46.2,48.9
1,46.2,46.9936683250415,Yes,Yes,46.2,48.8
2,48.8,86.1694986238681,Yes,Yes,45.8,48.8
2,48.8,106.222541979528,Yes,No,45.8,48.8
1,45.8,39.334078442029,Yes,Yes,45.8,48.1
1,45.5,33.554936221079,Yes,Yes,45.5,48.1
1,45.3,39.5757149590561,Yes,Yes,45.3,48.1
2,48.1,70.0500763582779,Yes,Yes,45.2,48.1
1,45.2,26.740625028478,No,Yes,45.2,48.4
1,45.3,27.7418297966982,No,Yes,45.3,48.4
2,48.4,64.9527350540248,Yes,Yes,45.4,48.4
2,48.5,86.6411211519968,Yes,Yes,45.4,48.5
